product_name,rating_number,rating_counter,product_price,number_reviews,sold_count,satisfaction,shop_name,shop_rating,shop_rating_counter,product_for
"Marelow Nole - Sepatu Sneakers Casual Unisex Wanita Pria shoes Kerja Outdoor Running Sport - SilverBlack, 36",4.6,(62 rating),Rp146.150,Menampilkan 10 dari 49 ulasan,Terjual 250+,91% pembeli merasa puas,Marelow,4.8,"(23,2 rb)",Male
"SEPATU BEYOMA NEW SPORT ORIGINAL Pria Wanita Sneakers Sport Running Shoes Olahraga Free Kotak Box BY038 Outdoor - Putih, 39",4.7,(6 rating),Rp280.000,Menampilkan 6 dari 6 ulasan,Terjual 9,83% pembeli merasa puas,BEYOMA,4.7,"(3,5 rb)",Male
"X-Fourth ForMax Black White - Sepatu Trainer Olahraga Daily Running Lari Sekolah Pria Wanita Sneakers Kasual Senam Fitness Gym Outdoor Casual Shoes - FM Black White, 38",4.8,(10 rating),Rp191.200,Menampilkan 10 dari 10 ulasan,Terjual 60+,100% pembeli merasa puas,xfourth,4.6,"(1,1 rb)",Male
"Keeping Sepatu Sneakers Pria Sepatu Pria Jogging Sepatu Olanhraga Cowok Gym Sport Shoes Sepatu Running Fleksible KSR724 - Hitam, 39",4.7,(7 rating),Rp159.000,Menampilkan 7 dari 7 ulasan,Terjual 30+,85% pembeli merasa puas,Keeping_NEW,4.8,"(15,6 rb)",Male
"Keeping Sepatu Pria Ringan Joging Sepatu Olahraga Lari Cowok Kasual Running Sport Shoes Outdoor KSL306 - Putih, 39",4.6,(12 rating),Rp154.230,unknown,Terjual 40+,91% pembeli merasa puas,Keeping_NEW,4.8,"(15,6 rb)",Male
"Elfs Active X Sunder Sepatu Trailblazer | Semi Trail Running Hiking Shoes - Grey, 39",4.5,(6 rating),Rp549.000,Menampilkan 5 dari 5 ulasan,Terjual 15,83% pembeli merasa puas,Elfs Active,4.9,"(65,5 rb)",Male
"Onarstreet - Sepatu Olahraga Voli Badminton Wanita Onar Sepatu Running Gym Shoes Outdoor - biru, 36",4.4,(135 rating),Rp120.000,Menampilkan 10 dari 97 ulasan,Terjual 1 rb+,84% pembeli merasa puas,Onar Street,4.5,-916,Male
"RJT Street Runner Sepatu Sneaker Pria casual shoes - Sneakers Running Hitam/putih dan Abu Kasual Sport sepatu running Olahraga - Putih, 40",4.4,(289 rating),Rp102.659,unknown,Terjual 1 rb+,85% pembeli merasa puas,RJT Store,4.7,"(8,8 rb)",Male
"[ORIGINAL] Sepatu BEYOMA 750 AIR Sneakers Sport Running Shoes Olahraga BY003 Outdoor - Putih Hijau, 42",4.4,(18 rating),Rp290.000,Menampilkan 10 dari 18 ulasan,Terjual 60+,83% pembeli merasa puas,BEYOMA,4.7,"(3,5 rb)",Male
"[ORIGINAL] Sepatu BEYOMA New Pibu Pria Wanita Sneakers Sport Running Shoes Olahraga Free Kotak Box BY009 Outdoor - Beige, 43",4.3,(6 rating),Rp300.000,Menampilkan 6 dari 6 ulasan,Terjual 16,83% pembeli merasa puas,BEYOMA,4.7,"(3,5 rb)",Male
"SEPATU BEYOMA Run Sporty Pria Wanita Sneakers Sport Running Shoes Olahraga Free Kotak Box BY016 Outdoor - Hitam, 39",4.3,(3 rating),Rp300.000,Menampilkan 3 dari 3 ulasan,Terjual 9,66% pembeli merasa puas,BEYOMA,4.7,"(3,5 rb)",Male
AZA RUN 1 Pygmalion Fresh Morning Running Shoes - Sepatu Lari Pria Wanita warna Putih - 36,5,(23 rating),Rp575.800,Menampilkan 10 dari 16 ulasan,Terjual 70+,100% pembeli merasa puas,AZA Wear,4.9,"(10,2 rb)",Male
AZA RUN 1 Pygmalion G-Force Running Shoes - Sepatu Lari Pria Wanita warna Acid Lime - 36,5,(11 rating),Rp575.800,Menampilkan 7 dari 7 ulasan,Terjual 30+,100% pembeli merasa puas,AZA Wear,4.9,"(10,2 rb)",Male
"Nuevo Crosspeed Putih/Biru Sepatu Olahraga Lari Pria Outdoor Sport Men Running Shoes - Putih Biru merah, 39",4.5,(78 rating),Rp158.000,Menampilkan 10 dari 77 ulasan,Terjual 250+,87% pembeli merasa puas,NUEVO Offcl Shop,4.5,"(9,7 rb)",Male
Gumi Sport Running Shoes Pulse Racer Orora Green - 6 | 38 | 24CM,5,(1 rating),Rp499.900,unknown,Terjual 2,100% pembeli merasa puas,Kick Avenue,4.9,"(4,3 rb)",Male
Sepatu Lari Running Shoes Hundred HNDRD SOFTSRIDE White Gold Black - 44,5,(1 rating),Rp404.000,Menampilkan 1 dari 1 ulasan,Terjual 1,100% pembeli merasa puas,PROCHAMPION,4.9,"(168,3 rb)",Male
"New ! Sepatu Lari / Running Original Eagle Shoes AZKA - ABU ABU CITRUN, 37",5,(1 rating),Rp231.000,unknown,Terjual 1,100% pembeli merasa puas,PROCHAMPION,4.9,"(168,3 rb)",Male
"Hundred Running Shoes Sprintpace HRFS-4M142 - Black/Blue/Purp, 40",5,(7 rating),Rp599.800,Menampilkan 3 dari 3 ulasan,Terjual 19,100% pembeli merasa puas,Hundred Store Indonesia,4.9,-910,Male
AZA RUN 1 Pygmalion Galaxy Running Shoes - Sepatu Lari Pria Wanita warna Hitam - 36,4.8,(10 rating),Rp575.800,Menampilkan 6 dari 6 ulasan,Terjual 30+,100% pembeli merasa puas,AZA Wear,4.9,"(10,2 rb)",Male
"DESLE SHOES SNEAKERS GEYA RUNNING WOMEN - Biru Muda/Biru, 36",unknown,unknown,Rp429.800,unknown,unknown,unknown,Desle Shoes,4.9,-551,Male
"Donatello C3562800 Running Shoes Pria - TAN, 40",unknown,unknown,Rp528.000,unknown,unknown,unknown,DonatelloShoes,5,"(2,1 rb)",Male
"Hundred Running Shoes Glidepace HRFS-4M141 - White/Blue, 41",5,(4 rating),Rp499.800,unknown,Terjual 11,100% pembeli merasa puas,Hundred Store Indonesia,4.9,-910,Male
